Location,Developer,Project,Type,Category,Model,Floor,Price,DeliveryDate,Down payment,Installments,Maintinance,Phase,BUA,GardenArea,landArea,RoofArea,Parking
New Cairo,MV,MV1.1,Duplex ,I-Villa Roof Garden,iVilla Park-iVilla Roof Garden-Middle-3 BR-245,4,"23,388,840",1y,,,8%,Phase-1M4,245,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Roof Garden,iVilla Park-iVilla Roof Garden-Middle-3 BR-245,4,"23,224,428",1y,,,8%,Phase-1M4,245,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Roof Garden,iVilla Park-iVilla Roof Garden-Middle-3 BR-255,4,"23,406,726",1y,,,8%,Phase-1M4,255,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Roof Garden,iVilla Park-iVilla Roof Garden-Middle-3 BR-245,4,"23,224,428",1y,,,8%,Phase-1M4,245,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Sky Garden,iVilla Park-iVilla Sky Garden-Corner-3 BR-235,2,"29,886,260",1y,,,8%,Phase-1M4,235,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Sky Garden,iVilla Park-iVilla Sky Garden-Middle-3 BR-240,2,"20,781,957",1y,,,8%,Phase-1M4,240,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Roof Garden,iVilla Park-iVilla Roof Garden-Corner-3 BR-215,4,"22,696,360",1y,,,8%,Phase-1M4,215,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Roof Garden,iVilla Park-iVilla Roof Garden-Middle-3 BR-220,4,"21,554,354",1y,,,8%,Phase-1M4,220,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Roof Garden,iVilla Park-iVilla Roof Garden-Middle-3 BR-245,4,"21,987,311",1y,,,8%,Phase-1M4,245,0,0,0,MV The Park
New Cairo,MV,MV1.1,Duplex ,I-Villa Roof Garden,iVilla Park-iVilla Roof Garden-Middle-3 BR-220,4,"21,554,354",1y,,,8%,Phase-1M4,220,0,0,0,MV The Park
